OMNIWeb Plus Browser Results

Listing for omni2 data from 20200101 to 20221231
Selected parameters:
 1 Scalar B, nT
 2 BZ, nT (GSM)
 3 SW Proton Density, N/cm^3
 4 SW Plasma Speed, km/s

YEAR DOY HR    1     2     3     4 
2020   1  0   2.5  -0.3  10.0  295.
2020   1  1   2.9   0.8   7.8  299.
2020   1  2   4.0  -0.3   8.3  300.
2020   1  3   5.3  -0.0   5.5  298.
2020   1  4   4.4   1.6   7.6  302.
2020   1  5   4.1   0.3   7.5  311.
2020   1  6   4.2  -1.9   6.4  313.
2020   1  7   4.3  -3.3   8.5  326.
2020   1  8   3.9  -3.0   8.0  330.
2020   1  9   3.9  -1.5   8.5  329.
2020   1 10   4.8   1.8   9.0  324.
2020   1 11   4.8  -0.4   7.5  317.
2020   1 12   4.5   0.4   7.4  313.
2020   1 13   4.1   0.5   9.0  323.
2020   1 14   3.8  -1.5   9.5  339.
2020   1 15   4.5   1.0   8.9  327.
2020   1 16   4.4  -0.4   8.0  327.
2020   1 17   4.0  -0.4   9.6  329.
2020   1 18   3.3  -0.3  11.2  328.
2020   1 19   2.7  -0.3  12.4  327.
2020   1 20   2.7  -0.2  12.5  327.
2020   1 21   2.3   0.4  13.0  325.
2020   1 22   2.7   1.2  12.8  314.
2020   1 23   3.5   1.1  11.5  310.
2020   2  0   4.7   0.3  10.5  307.
2020   2  1   3.8   0.3  12.8  309.
2020   2  2   3.3   0.0  13.4  311.
2020   2  3   3.8   1.5  12.5  311.
2020   2  4   3.8   1.4  10.4  317.
2020   2  5   3.6   1.9   9.5  315.
2020   2  6   3.6  -1.4   9.7  314.
2020   2  7   3.8  -2.2   9.8  317.
2020   2  8   4.1  -1.0   8.3  319.
2020   2  9   4.3   1.4   5.5  324.
2020   2 10   3.3   0.3   5.0  334.
2020   2 11   2.3  -0.1   5.4  339.
2020   2 12   2.2  -1.5   5.4  335.
2020   2 13   2.5  -1.2   4.8  326.
2020   2 14   2.3  -0.7   5.1  323.
2020   2 15   1.9  -0.6   6.2  326.
2020   2 16   1.7  -0.8   7.4  337.
2020   2 17   1.9  -0.2   8.5  343.
2020   2 18   3.2   1.9   5.9  351.
2020   2 19   3.4   2.3   5.5  365.
2020   2 20   4.6   2.0   5.7  372.
2020   2 21   4.4  -1.8   6.6  378.
2020   2 22   4.4  -0.9   6.8  363.
2020   2 23   4.0   0.3  11.4  349.
2020   3  0   2.2   0.9  15.6  342.
2020   3  1   1.7   0.6  17.6  343.
2020   3  2   2.9   1.0  16.2  340.
2020   3  3   2.3   0.2  14.4  334.
2020   3  4   3.4  -0.8  14.0  331.
2020   3  5   5.5  -3.4  18.3  339.
2020   3  6   9.2  -6.8  14.6  340.
2020   3  7   7.1  -0.0  18.9  345.
2020   3  8   9.1  -5.6  10.6  353.
2020   3  9   7.4  -2.3   9.3  360.
2020   3 10   6.4   5.7   7.9  365.
2020   3 11   5.9   1.3   7.9  360.
2020   3 12   5.6  -2.7   7.2  362.
2020   3 13   4.7   1.6   7.3  357.
2020   3 14   6.5  -4.5   7.3  349.
2020   3 15   6.5  -0.7   9.3  348.
2020   3 16   6.5   2.0   9.2  353.
2020   3 17   6.5   5.1   8.7  347.
2020   3 18   6.2   5.0   7.6  348.
2020   3 19   5.0  -0.0   7.6  355.
2020   3 20   6.5   0.2   5.8  359.
2020   3 21   6.7  -4.4   3.7  379.
2020   3 22   5.8  -2.5   3.8  392.
2020   3 23   5.0  -2.0   4.5  392.
2020   4  0   4.7  -2.5   5.0  395.
2020   4  1   4.3  -0.9   4.6  401.
2020   4  2   4.8   3.3   5.0  394.
2020   4  3   5.0   0.8   3.8  387.
2020   4  4   4.0  -0.0   2.9  384.
2020   4  5   3.7  -0.9   3.4  388.
2020   4  6   3.0  -0.5   3.9  385.
2020   4  7   2.7   0.9   3.4  388.
2020   4  8   2.8  -0.9   3.6  385.
2020   4  9   2.4  -0.5   3.3  389.
2020   4 10   3.6  -0.4   2.7  394.
2020   4 11   4.2  -1.6   2.8  389.
2020   4 12   4.4  -1.6   3.4  385.
2020   4 13   4.8  -2.0   4.0  395.
2020   4 14   5.8  -2.2   4.6  395.
2020   4 15   6.6  -3.6   4.6  392.
2020   4 16   7.5  -4.2   4.1  389.
2020   4 17   7.7  -3.9   4.5  387.
2020   4 18   7.7  -3.1   4.2  385.
2020   4 19   7.9  -3.3   4.3  378.
2020   4 20   8.1  -3.9   4.2  366.
2020   4 21   8.2  -3.5   4.5  356.
2020   4 22   8.2  -3.6   4.9  347.
2020   4 23   8.8  -3.4   5.0  348.
2020   5  0   9.2  -2.9   4.9  346.
2020   5  1   9.4  -3.1   5.0  352.
2020   5  2   9.2  -2.3   5.3  346.
2020   5  3   9.0  -2.5   6.3  344.
2020   5  4   9.8  -1.3   7.1  339.
2020   5  5  10.1  -0.8   7.3  343.
2020   5  6   9.8   1.1  10.7  345.
2020   5  7   9.8   5.6   5.9  356.
2020   5  8   9.0   3.1   4.9  365.
2020   5  9   7.5   3.7   7.1  383.
2020   5 10   8.9   3.9   7.6  384.
2020   5 11   9.4   1.4   7.4  375.
2020   5 12  10.0  -0.3  10.6  383.
